Language,Language-code,TotalRetweetsInThatLang,IDOfTweet,RetweetCount,Text
(Korean,ko,290862,779888229310828545,5816,RT @starjn_news: [스타저널] [스타포토] #갓세븐(#GOT7) #뱀뱀)
(Korean,ko,290862,677422526717276160,5684,RT @Sci_Taku: 우리가 생각하는 지구와 달의 모습  vs  실제 스케일 https://t.co/PrmNbdgKO4)
(Korean,ko,290862,780321619214344192,5539,RT @totheno1: 그리고...애들이 도넛먹다 트라우마 생길 것 가따 (...)차라리...죽여줘... https://t.co/e3KBa0XB2G)
(Korean,ko,290862,779979053495226368,5387,RT @9492J: 님들 이것좀봐요...심장아파...개귀여워.... https://t.co/tjVVhENxcT)
(Korean,ko,290862,779703983770218496,5335,RT @ddaekgo: 와씨 방금 유튜브 보는데 이거 넘 쿠로오같고...;; https://t.co/j0dw0evMEU)
(Korean,ko,290862,780092211023187968,5219,RT @eriol_S2: #닉네임_보고_캐릭터_만들어드려요  34만원 사기당했는데 그놈 잡히면 추첨합니다...후...참여는 알티..)
(Korean,ko,290862,778641528608608256,5180,RT @unifaix: #GOT7 #FLIGHTLOG #TURBULENCE #하드캐리 https://t.co/IR2XrUHtrG)
(Korean,ko,290862,780019254103973888,5124,RT @f40_ppr: 장발남캐가 외관적 고달요소가 있는 남캐라뇨 저 총괄님은 유에사마를 거치지 못한 불운의 세대다.... https://t.co/oQRey0agPG)
(Korean,ko,290862,780057928283721728,4917,RT @soondae_leo: 아 씨발 도경언니 미국간ㄴ지 얼마 안 돼서 영어 못하던 시절 얘기ヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲヲ존ㄹ나웃기다 h…)
(Korean,ko,290862,779677468642816001,4773,RT @zzi00_ne: 아 님들 진짜 이거 봐주셨음 좋겠다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ생각없이 봤다가 이 유튜버 영상 시리즈 중독됨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ사람들 반응이 더웃겨 ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ https://t.co/6VsXUCyypQ)
(Korean,ko,290862,753216522353467393,4645,RT @dlstmv4656: 켄마츄와 함께 떠나는~~ 포켓몬 go https://t.co/D7w6VuP4Ye)
